Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,HOU24.0,HOU17.3,HOU13.0,HOU4.5,LAD14.4,PIT2.2,ARI3.8,TBR2.8,OAK6.5,CLE5.5,TBR2.7,LAA6.3,BOS8.0,BOS12.2,BOS2.2,LAD1.1
2,BOS21.0,BOS14.0,CLE10.7,BOS3.5,OAK12.5,MIA1.8,ATL3.2,HOU2.8,CLE4.8,LAA4.1,BOS2.7,MIL6.0,NYY3.8,MIL10.8,NYY1.7,TBR0.4
3,LAD18.4,PHI13.0,PHI10.7,PHI2.8,NYY11.6,LAD1.6,LAD2.7,CHC2.4,LAD4.0,COL3.2,MIL2.0,NYY2.4,SEA2.9,NYY7.4,LAA1.7,CHC0.4
4,CLE15.2,WSN10.8,BOS10.4,OAK2.7,MIL10.9,CHC0.8,OAK1.9,ATL2.3,HOU3.6,NYY2.9,MIN1.7,LAD2.0,MIL2.8,LAA5.0,TBR0.7,NYY0.0
5,NYY14.2,COL9.9,COL10.4,WSN2.3,TBR10.0,SFG0.7,CIN1.7,OAK1.9,COL3.4,ARI2.8,ATL1.5,TBR1.9,CHC0.9,TBR4.5,SEA0.7,MIL-0.1
6,CHC13.2,CLE6.9,NYM10.4,CHC2.2,ATL9.3,TOR0.5,MIL1.1,KCR1.9,WSN2.5,OAK2.4,ARI1.3,PIT1.6,OAK0.8,LAD3.6,OAK0.6,STL-0.2
7,OAK12.7,NYM5.4,WSN8.0,SEA2.2,CHC9.0,CHW0.1,STL1.1,STL1.6,TBR1.8,LAD2.3,PIT1.3,BOS1.5,LAD0.8,ATL3.6,TEX0.2,OAK-0.2
8,TBR10.1,CHC4.2,LAD6.5,TEX1.5,CLE8.3,ATL0.0,SFG0.9,NYM1.6,CIN1.7,BOS2.2,NYY1.2,ATL1.5,SDP0.7,PIT3.0,LAD0.1,MIN-0.3
9,ATL8.7,LAD4.0,TBR3.7,NYY0.5,BOS7.0,CLE-0.1,CHC0.7,ARI1.3,MIL1.6,HOU2.0,CLE1.1,HOU0.8,MIN0.7,MIN2.3,SFG0.0,BOS-0.3
10,WSN8.1,NYY2.6,PIT3.3,CIN-0.6,HOU6.7,PHI-0.1,HOU0.1,LAA1.3,CHC1.2,CHC1.9,OAK0.9,STL0.7,ATL0.6,OAK1.6,PIT0.0,PIT-0.4
11,MIL7.6,SEA2.5,CHC3.2,COL-0.6,LAA6.5,NYY-0.1,TOR-0.1,TEX1.1,STL1.1,WSN1.8,STL0.8,CHC0.2,DET0.3,CHC1.6,ARI0.0,KCR-0.4
12,COL3.6,PIT0.2,STL3.0,TOR-1.0,ARI3.7,SEA-0.2,WSN-0.2,SEA0.9,SDP0.5,STL1.7,LAA0.8,TOR0.2,HOU0.2,SEA1.1,STL0.0,HOU-0.4
13,LAA3.2,OAK0.2,ATL2.9,SDP-1.2,STL3.5,TBR-0.3,CLE-0.3,NYY0.7,ATL0.2,BAL1.5,LAD0.8,ARI0.1,PIT0.1,SDP0.3,CLE0.0,SEA-0.5
14,SEA1.1,TBR0.1,NYY2.2,MIL-1.8,PIT-1.1,SDP-0.3,TBR-0.6,CIN0.7,NYY0.1,CHW0.9,NYM0.7,DET0.0,TBR-0.1,STL0.2,CIN0.0,LAA-0.7
15,STL0.6,ATL-0.6,ARI1.0,BAL-2.1,CIN-1.3,HOU-0.4,BOS-0.6,CLE0.3,TEX0.0,SEA0.9,CHC0.5,MIN-0.1,TOR-0.2,NYM0.1,CHC0.0,CLE-0.7
16,ARI0.5,STL-2.9,SEA0.3,PIT-2.1,SEA-1.4,CIN-0.6,TEX-0.7,BAL0.3,CHW-0.2,ATL0.8,WSN0.4,OAK-0.1,NYM-0.4,HOU-0.1,ATL0.0,ATL-0.8
17,NYM0.0,TOR-3.1,MIN-0.4,SFG-2.2,MIN-2.2,MIN-0.6,PHI-0.9,MIL-0.1,SFG-0.2,TBR0.7,SDP-0.1,NYM-0.2,SFG-0.4,WSN-0.5,MIL-0.1,TOR-0.8
18,PIT-0.9,ARI-3.2,LAA-0.6,LAA-2.6,WSN-2.7,TEX-0.7,SDP-0.9,MIA-0.2,NYM-0.3,TEX0.7,KCR-0.1,WSN-0.3,WSN-0.6,DET-1.0,SDP-0.1,CHW-0.9
19,PHI-2.9,MIL-3.3,DET-0.6,LAD-2.8,SDP-3.1,MIL-0.8,CHW-0.9,COL-0.4,MIN-0.5,MIA0.2,HOU-1.1,SDP-0.3,MIA-1.1,ARI-1.1,PHI-0.1,SDP-1.0
20,TEX-8.2,LAA-3.3,SFG-1.3,ATL-2.9,TEX-4.8,LAA-0.8,MIA-1.0,PHI-0.7,ARI-0.6,SFG0.1,SEA-1.2,SEA-0.6,TEX-1.2,CLE-1.2,WSN-0.1,ARI-1.0
21,MIN-8.7,TEX-3.4,TOR-2.2,TBR-3.6,NYM-5.4,NYM-1.2,NYY-1.1,MIN-0.7,MIA-0.6,CIN0.1,DET-1.3,CLE-0.8,KCR-1.3,TOR-1.8,NYM-0.1,CIN-1.1
22,CIN-9.2,SFG-4.6,MIL-2.3,DET-3.8,SFG-5.7,KCR-1.2,MIN-1.4,CHW-0.9,DET-0.7,DET0.0,CIN-1.4,KCR-0.9,STL-1.3,KCR-2.3,MIA-0.1,BAL-1.1
23,SFG-10.3,DET-4.7,OAK-2.4,CLE-3.8,COL-6.3,ARI-1.5,PIT-1.5,PIT-0.9,BAL-0.9,SDP-0.2,BAL-1.5,CIN-0.9,CIN-1.5,CIN-3.8,COL-0.1,TEX-1.1
24,TOR-11.2,BAL-5.9,KCR-2.7,CHW-3.9,KCR-7.9,BAL-1.8,DET-1.8,LAD-1.0,PIT-0.9,MIN-0.3,TEX-1.5,SFG-1.3,CLE-1.5,SFG-3.9,KCR-0.6,NYM-1.3
25,SDP-14.7,MIN-6.5,BAL-3.7,ARI-4.1,TOR-8.1,STL-2.0,KCR-2.0,SDP-1.4,SEA-1.8,TOR-0.8,PHI-1.7,CHW-1.4,COL-1.8,TEX-4.3,MIN-0.7,WSN-1.3
26,CHW-17.6,CIN-7.9,MIA-3.7,NYM-5.8,MIA-8.8,COL-2.0,LAA-2.1,SFG-1.4,KCR-2.0,KCR-1.3,TOR-1.8,TEX-1.6,BAL-2.0,COL-5.4,HOU-0.9,DET-1.5
27,KCR-17.7,CHW-8.0,CHW-3.8,MIN-5.9,CHW-9.6,OAK-2.2,NYM-2.3,TOR-2.0,LAA-2.0,MIL-1.5,COL-1.9,COL-1.7,LAA-2.1,BAL-5.7,TOR-1.0,MIA-1.7
28,DET-18.2,KCR-9.8,TEX-4.8,STL-6.6,DET-13.5,WSN-2.4,COL-2.5,DET-2.1,TOR-2.1,NYM-1.9,SFG-2.2,PHI-1.7,CHW-2.4,PHI-6.1,CHW-1.1,SFG-1.9
29,BAL-21.1,SDP-11.6,CIN-6.9,KCR-7.1,BAL-15.2,DET-2.9,SEA-2.5,BOS-2.5,PHI-2.5,PIT-2.6,MIA-2.6,BAL-2.2,ARI-2.5,CHW-6.6,BAL-2.0,PHI-2.5
30,MIA-24.1,MIA-15.3,SDP-9.9,MIA-11.7,PHI-15.9,BOS-3.4,BAL-5.5,WSN-2.5,BOS-2.8,PHI-3.0,CHW-2.8,MIA-3.5,PHI-2.7,MIA-7.2,DET-3.5,COL-2.5
AVG,-0.1,-0.1,1.8,-1.8,0.0,-0.6,-0.4,0.2,0.5,0.9,-0.0,0.3,-0.0,0.2,-0.1,-0.8
