Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,CLE24.1,CLE17.2,WSN13.2,CLE5.3,HOU17.1,CHC2.4,CIN5.8,HOU5.5,COL4.4,HOU5.7,MIA3.2,LAA4.8,MIA5.3,MIA10.0,SEA1.6,HOU0.2
2,NYY16.9,ARI14.0,CLE12.0,NYY4.6,MIA13.1,MIA2.3,ARI3.8,BAL3.3,WSN4.0,LAA5.5,DET3.1,TBR3.7,NYY5.0,NYY8.6,CLE0.3,CHC0.0
3,HOU16.6,WSN13.2,ARI11.8,BOS4.0,LAD10.0,ATL2.2,CHC2.4,MIN2.2,LAD3.6,LAD3.4,STL2.5,MIN3.0,BOS3.9,TBR6.6,LAD0.2,MIN0.0
4,WSN16.4,COL9.8,COL8.1,COL2.4,CHC8.3,BAL2.0,ATL2.2,WSN1.1,CHC3.2,CLE3.2,NYY1.9,COL3.0,HOU2.9,HOU6.0,MIA0.2,TBR-0.1
5,LAD16.4,NYY9.5,LAD5.5,MIL1.9,NYY7.4,LAD1.6,CHW2.0,CLE1.1,HOU1.7,TEX2.6,NYM1.9,HOU2.3,WSN2.1,BOS5.3,ARI0.1,LAD-0.1
6,ARI15.7,BOS7.0,NYY5.0,KCR1.9,CIN7.1,SEA1.3,KCR1.6,PHI1.1,TOR1.6,CIN2.4,TBR0.9,KCR2.3,TBR2.0,NYM4.5,NYM0.1,NYY-0.2
7,CHC9.6,LAD6.4,TEX4.5,ARI1.5,CLE6.9,SFG1.1,MIN1.6,MIA1.1,TEX1.6,NYY1.9,PHI0.8,NYM2.2,CHW2.0,LAA3.6,TBR0.0,CLE-0.4
8,COL8.1,MIL5.3,MIL3.6,PHI1.1,MIN6.7,MIN1.0,OAK1.3,CHW0.9,CLE1.5,WSN1.7,HOU0.8,NYY1.7,ARI1.8,STL3.0,STL0.0,NYM-0.4
9,BOS5.9,KCR4.5,BOS3.1,LAD1.0,TBR3.4,CIN0.7,CLE1.0,OAK0.8,MIL1.4,CHC0.9,CLE0.7,BOS1.6,LAD1.2,MIN2.1,SFG0.0,STL-0.6
10,MIL4.0,TEX3.1,KCR2.8,BAL0.7,WSN3.2,NYY0.3,HOU1.0,LAD0.8,CIN1.4,SEA0.9,LAD0.3,MIA1.5,SEA0.8,DET1.0,CIN0.0,BAL-0.6
11,STL3.2,SFG1.7,HOU2.5,PIT0.6,SEA3.0,DET0.2,STL0.7,COL0.6,BAL1.3,MIL0.6,CIN-0.1,STL1.4,MIL0.6,ARI0.9,SDP0.0,MIA-0.6
12,MIN1.7,CHC1.3,SFG1.4,WSN0.2,STL2.8,PHI0.1,WSN0.7,BOS0.4,OAK1.0,MIA0.5,BOS-0.2,WSN1.0,CHC0.5,LAD0.8,PIT0.0,CIN-0.7
13,SEA-1.3,TOR0.5,CHC1.3,CHC0.2,ARI1.7,MIL-0.1,TBR0.4,STL0.2,PIT1.0,COL0.3,OAK-0.3,ARI0.9,NYM0.4,WSN0.6,MIL0.0,OAK-0.7
14,TBR-2.7,PHI0.5,STL0.8,TOR0.1,BOS-1.1,CLE-0.1,MIA0.4,PIT0.2,SEA1.0,PHI0.1,LAA-0.6,PHI0.9,DET-0.3,SEA0.6,ATL-0.1,DET-0.7
15,TEX-3.3,STL0.4,TOR0.4,CHW0.1,NYM-1.2,KCR-0.3,TOR0.4,SEA0.0,TBR0.8,BOS-0.1,SDP-0.6,PIT0.8,MIN-0.3,CLE0.3,WSN-0.1,ARI-0.8
16,MIA-3.8,HOU-0.5,DET-0.1,SFG0.0,MIL-1.3,NYM-0.3,SFG-0.1,DET0.0,MIN0.5,STL-0.1,MIN-0.6,TOR0.7,OAK-0.3,PHI-0.5,PHI-0.1,SEA-0.8
17,LAA-3.9,PIT-0.5,PHI-0.4,LAA-0.6,LAA-1.3,TEX-0.3,SDP-0.1,CHC0.0,STL0.4,ARI-0.2,CHW-0.6,ATL0.7,LAA-0.6,CHC-0.5,MIN-0.1,MIL-0.8
18,PHI-4.3,LAA-2.6,PIT-0.8,STL-0.8,BAL-1.5,LAA-0.5,LAD-0.3,KCR-0.1,NYY0.2,SFG-0.2,BAL-0.7,SEA0.6,CIN-0.7,CHW-1.2,COL-0.1,CHW-0.8
19,KCR-6.1,SEA-4.3,MIN-1.9,TEX-1.4,COL-1.7,BOS-0.7,MIL-0.5,ATL-0.2,CHW-0.1,OAK-0.3,PIT-0.8,SDP0.4,CLE-0.8,MIL-1.3,CHC-0.1,LAA-0.9
20,PIT-8.1,MIN-5.0,SEA-1.9,SDP-1.7,OAK-2.8,STL-0.8,BOS-1.0,NYY-0.3,ARI-0.3,MIN-0.6,SEA-0.8,CLE0.4,STL-0.9,CIN-1.5,NYY-0.7,TEX-0.9
