Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,STL19.2,STL17.0,STL12.7,KCR4.8,TOR12.3,SFG1.7,ARI6.0,MIA2.4,BAL4.7,HOU3.7,ARI2.5,LAA7.0,WSN6.4,ARI8.4,TOR2.3,LAD0.3
2,LAD12.8,CLE7.7,LAD8.6,STL4.3,ARI11.1,PIT1.7,CIN5.5,SFG2.2,TOR4.4,SFG3.6,PIT2.0,TBR5.1,STL4.6,TBR5.5,SEA0.6,KCR0.1
3,TOR12.6,NYM7.3,WSN7.5,PIT3.7,HOU8.9,OAK1.5,CHC4.4,DET2.2,COL3.9,ATL2.6,DET2.0,ARI5.1,DET2.8,LAA5.1,NYY0.5,HOU0.1
4,HOU11.5,WSN6.8,NYM6.5,BAL3.2,LAD7.2,LAD1.2,SFG2.9,HOU1.8,SEA2.8,BOS2.0,SDP1.9,KCR5.1,HOU2.6,STL5.1,KCR0.4,TBR-0.1
5,PIT9.0,NYY6.1,CLE6.5,NYY2.6,SFG6.2,TOR0.7,LAD2.6,TOR1.6,CHC2.5,CLE1.9,KCR1.4,BOS4.0,NYM2.5,PIT4.9,BOS0.2,TOR-0.1
6,SFG8.6,LAD5.6,CHC5.8,SFG1.2,KCR4.4,NYY0.6,KCR1.8,CLE1.4,STL2.2,MIA1.2,NYM1.3,PIT3.2,MIL1.4,KCR3.9,ARI0.0,ARI-0.2
7,KCR8.5,PIT5.2,NYY3.7,CLE1.0,PIT3.8,BAL0.4,MIL1.6,BOS1.2,TEX2.1,NYY0.8,STL0.7,PHI2.7,MIA1.3,DET3.8,MIL0.0,SDP-0.5
8,CHC7.5,KCR4.1,TBR3.7,MIL0.7,CHC3.7,HOU0.3,DET1.4,TBR1.0,KCR1.9,CIN0.3,NYY0.7,TOR2.7,TOR1.2,NYM3.7,MIA0.0,OAK-0.5
9,NYM7.2,CHC3.8,SEA2.8,TEX0.6,STL2.2,TEX0.1,NYY1.2,SEA0.9,TBR1.8,WSN0.1,MIA0.4,CHW1.9,LAD1.0,HOU3.7,LAD0.0,DET-0.5
10,NYY5.5,HOU2.6,HOU2.7,NYM0.0,DET1.6,CLE0.1,BAL1.0,STL0.6,CIN1.2,PIT-0.1,TBR0.2,HOU1.3,SEA1.0,WSN3.4,PIT0.0,NYY-0.5
11,WSN4.9,SFG2.4,MIN2.4,HOU-0.3,LAA1.5,LAA0.0,TOR0.7,MIN0.4,HOU1.1,TOR-0.1,LAD0.2,OAK1.0,OAK1.0,TOR2.8,SDP0.0,CHW-0.7
12,ARI4.9,MIN1.9,PIT2.1,MIN-0.4,MIA1.4,ARI0.0,SDP0.7,PIT0.3,LAD0.9,LAD-0.2,CLE0.0,BAL0.9,ARI0.8,BOS2.8,CHC0.0,BOS-0.7
13,CLE2.8,TBR1.5,BOS1.8,PHI-0.6,BOS1.2,CHC-0.1,NYM0.7,LAD0.3,MIA0.8,LAA-0.3,CHC-0.1,LAD0.9,TEX0.6,LAD2.1,WSN0.0,NYM-0.7
14,TBR2.5,TOR0.3,OAK1.5,TOR-0.6,TBR1.0,KCR-0.3,ATL0.5,SDP0.1,MIN0.8,OAK-0.4,HOU-0.2,NYY0.7,LAA0.6,MIA1.5,SFG-0.1,TEX-0.7
15,BOS0.8,TEX0.3,TOR0.9,COL-0.8,NYM-0.1,COL-0.3,TEX0.4,TEX0.0,SFG0.7,DET-0.5,MIN-0.2,CHC0.3,BOS0.5,MIL0.9,STL-0.1,SFG-0.8
16,BAL0.0,BAL0.2,SFG0.2,WSN-1.1,BAL-0.2,NYM-0.3,CHW-0.2,CHC-0.1,PIT0.6,CHC-0.5,MIL-0.5,SDP0.2,TBR0.2,OAK0.8,TBR-0.1,BAL-0.8
17,TEX-0.8,BOS-0.4,CHW-0.3,CHW-1.5,NYY-0.6,SDP-0.5,LAA-0.3,OAK-0.1,LAA0.2,TEX-0.6,CHW-0.6,WSN0.2,COL0.0,SDP0.4,ATL-0.1,CLE-0.9
18,LAA-2.5,SEA-0.9,KCR-0.7,CHC-1.6,TEX-1.1,ATL-0.5,HOU-0.6,BAL-0.2,OAK0.2,SEA-0.6,PHI-0.7,MIL0.0,SFG-0.1,PHI0.3,NYM-0.1,MIL-1.0
19,MIA-5.0,CHW-1.9,TEX-0.7,ARI-1.8,OAK-1.8,MIA-0.7,BOS-0.9,CIN-0.4,PHI0.0,ARI-0.9,SEA-0.7,NYM-0.1,PIT-0.3,CHW0.3,MIN-0.1,MIN-1.0
20,SEA-6.1,COL-3.5,ATL-0.8,BOS-2.0,WSN-1.9,CHW-0.7,OAK-0.9,COL-0.5,WSN0.0,TBR-0.9,SFG-0.7,CLE-0.1,ATL-0.3,NYY0.2,PHI-0.2,CHC-1.2
21,MIN-6.3,LAA-4.0,LAA-0.8,TBR-2.1,SDP-2.2,STL-0.9,MIN-1.2,WSN-0.6,ARI-0.3,COL-1.0,TOR-1.1,MIA-0.2,CHW-1.0,SEA-1.0,COL-0.2,PIT-1.2
22,OAK-7.3,OAK-5.5,COL-1.8,SDP-2.2,CIN-2.7,DET-1.1,WSN-1.7,ATL-0.9,SDP-0.7,CHW-1.0,OAK-1.2,STL-0.2,NYY-1.2,CHC-1.3,CIN-0.2,LAA-1.3
23,SDP-9.3,MIL-6.0,BAL-3.0,MIA-2.3,CLE-4.9,CIN-1.1,MIA-2.0,PHI-1.0,DET-1.0,NYM-1.1,BAL-1.6,COL-0.5,BAL-1.4,CLE-1.9,LAA-0.5,STL-1.3
24,COL-9.8,ATL-6.0,ARI-3.5,CIN-2.8,SEA-5.2,BOS-1.1,COL-2.1,NYM-1.0,NYM-1.3,STL-1.2,BOS-1.7,TEX-0.8,CHC-1.5,TEX-1.9,TEX-0.5,PHI-1.4
25,CIN-10.0,ARI-6.2,CIN-4.4,LAA-3.2,MIL-5.4,MIL-1.3,SEA-2.2,LAA-1.4,ATL-1.5,KCR-1.3,TEX-1.7,MIN-1.0,PHI-1.7,BAL-2.1,BAL-0.5,WSN-1.5
26,CHW-10.2,MIA-6.4,MIA-4.5,LAD-3.3,COL-6.3,PHI-1.5,STL-2.2,NYY-1.9,NYY-1.5,MIL-1.7,CIN-2.3,DET-1.0,SDP-1.7,COL-3.6,HOU-1.2,SEA-1.6
27,DET-10.7,SDP-7.1,SDP-4.8,SEA-3.6,ATL-6.5,MIN-1.5,CLE-2.3,ARI-1.9,MIL-1.9,SDP-1.7,LAA-2.5,SEA-1.3,CIN-1.8,MIN-3.6,CLE-1.3,ATL-1.7
28,MIL-11.4,CIN-7.3,MIL-5.9,ATL-4.3,MIN-8.2,WSN-1.6,PIT-2.4,MIL-2.0,CLE-1.9,PHI-1.9,ATL-2.8,CIN-1.7,CLE-1.8,SFG-4.0,CHW-1.4,MIA-1.8
29,ATL-12.5,PHI-7.4,PHI-7.1,DET-4.9,CHW-8.3,TBR-2.6,PHI-3.6,KCR-2.1,CHW-1.9,MIN-2.0,COL-3.1,ATL-1.8,MIN-2.4,ATL-4.9,OAK-2.4,CIN-2.2
30,PHI-16.7,DET-12.3,DET-7.3,OAK-6.9,PHI-9.3,SEA-4.1,TBR-3.6,CHW-2.7,BOS-2.3,BAL-2.7,WSN-3.2,SFG-3.2,KCR-2.6,CIN-5.8,DET-2.7,COL-2.5
AVG,-0.0,-0.1,0.8,-0.8,0.1,-0.4,0.2,-0.0,0.6,-0.1,-0.4,1.0,0.4,1.0,-0.3,-0.9
